Project,Version,Suite,Test count,APFD,APFDf,TTFF,pTTFF,Misses,Hit,HitCount
Closure,100,Random,259.0,0.6584298584298585,0.6584298584298585,88.96666666666667,0.34350064350064347,0,1,30
Closure,101,Ekstazi+random,259.0,0.5436293436293436,0.5436293436293436,118.7,0.4583011583011583,0,1,30
Closure,101,FAST-pw,258.0,0.25387596899224807,0.25675675675675697,193.0,0.7451737451737447,0,1,30
Closure,101,Fastazi-S,258.0,0.25387596899224807,0.25675675675675697,193.0,0.7451737451737447,0,1,30
Closure,101,Fastazi-P,258.0,0.25387596899224807,0.25675675675675697,193.0,0.7451737451737447,0,1,30
Closure,101,Random,259.0,0.4850707850707851,0.4850707850707851,133.86666666666667,0.5168597168597169,0,1,30
Closure,102,Ekstazi+random,259.0,0.5342342342342344,0.5342342342342344,121.13333333333334,0.46769626769626765,0,1,30
Closure,102,FAST-pw,258.0,0.5794573643410851,0.5810810810810808,109.0,0.420849420849421,0,1,30
Closure,102,Fastazi-S,258.0,0.5794573643410851,0.5810810810810808,109.0,0.420849420849421,0,1,30
Closure,102,Fastazi-P,258.0,0.5794573643410851,0.5810810810810808,109.0,0.420849420849421,0,1,30
Closure,102,Random,259.0,0.44839124839124833,0.44839124839124833,143.36666666666667,0.5535392535392536,0,1,30
Closure,103,Ekstazi+random,259.0,0.6647361647361646,0.6647361647361646,87.33333333333333,0.33719433719433717,0,1,30
Closure,103,FAST-pw,258.0,0.08720930232558151,0.0907335907335907,236.0,0.9111969111969105,0,1,30
Closure,103,Fastazi-S,258.0,0.08720930232558151,0.0907335907335907,236.0,0.9111969111969105,0,1,30
Closure,103,Fastazi-P,258.0,0.08720930232558151,0.0907335907335907,236.0,0.9111969111969105,0,1,30
Closure,103,Random,259.0,0.7155727155727158,0.7155727155727158,74.16666666666667,0.2863577863577864,0,1,30
Closure,104,Ekstazi+random,259.0,0.4244530244530245,0.4244530244530245,149.56666666666666,0.5774774774774776,0,1,30
Closure,104,FAST-pw,258.0,0.1375968992248061,0.14092664092664098,223.0,0.8610038610038614,0,1,30
